model,variable,horizon_weeks,n_forecasts,mean_crps,median_crps,coverage_90,avg_width_90,lower_tail_rate_05,mean_qloss_05,mean_qloss_50,mean_qloss_95,mean_ess_fraction
AR_macro,WTI,12,85,0.06502278585993448,0.03880374005649612,0.9058823529411765,0.3780651199227514,0.058823529411764705,0.01560027808903953,0.043148388288270376,0.014610212513463413,0.3275446777956983
AR_macro,WTI,20,85,0.08279713358645505,0.04975588794825195,0.8705882352941177,0.4871776959293677,0.09411764705882353,0.017885046340415916,0.05517340089509523,0.017483519666789633,0.3275446777956983
AR_macro_nc,BRENT,1,85,0.019580649614767826,0.012003877522466152,0.8588235294117647,0.10441797540558774,0.058823529411764705,0.0034590103013218357,0.01311848627970931,0.004733217217654931,0.3275446777956983
AR_macro_nc,BRENT,4,85,0.03806975657564521,0.0260522073017107,0.9058823529411765,0.21230891973871438,0.03529411764705882,0.007870486905850686,0.025992200401329286,0.008599803106047311,0.3275446777956983
AR_macro_nc,BRENT,12,85,0.06391386806647403,0.0429069666828668,0.9058823529411765,0.37088672836939934,0.047058823529411764,0.015036567407549621,0.04373773883551373,0.01251409893415801,0.3275446777956983
AR_macro_nc,BRENT,20,85,0.07991513350381989,0.05098655275581743,0.9176470588235294,0.47804669032795744,0.047058823529411764,0.0191653518606362,0.055110020757596426,0.01544674253720236,0.3275446777956983
AR_macro_nc,SPREAD,1,85,0.011441084923048593,0.008495661082038756,0.8588235294117647,0.061978555703836855,0.058823529411764705,0.0020534637009110997,0.00786790557274876,0.0022049088971851463,0.3275446777956983
AR_macro_nc,SPREAD,4,85,0.018959673155135928,0.015105133245655579,0.9411764705882353,0.12542593813938158,0.047058823529411764,0.0037179426892752373,0.013716133807542549,0.0032546529075881503,0.3275446777956983
AR_macro_nc,SPREAD,12,85,0.029791093927116,0.02329829395789844,0.9529411764705882,0.21779989448038517,0.03529411764705882,0.005600072177454114,0.020792678505039446,0.005707375030619599,0.3275446777956983
AR_macro_nc,SPREAD,20,85,0.035887390943167265,0.02857291307441085,1.0,0.281431025203315,0.0,0.006935473947346332,0.024226565429018663,0.007136077312819423,0.3275446777956983
AR_macro_nc,WTI,1,85,0.019554428479822493,0.012972628177197347,0.8823529411764706,0.1041199418771518,0.03529411764705882,0.0035134914765854314,0.0130827249662892,0.004833363772270879,0.3275446777956983
AR_macro_nc,WTI,4,85,0.037999063895913156,0.022824745430749527,0.8705882352941177,0.2183120433509723,0.07058823529411765,0.008196966067403666,0.025377735302330208,0.009133557998136489,0.3275446777956983
AR_macro_nc,WTI,12,85,0.0657368076220033,0.037820769706785204,0.8823529411764706,0.3780651199227514,0.058823529411764705,0.016797192096646867,0.04322279807752957,0.014348169282718528,0.3275446777956983
AR_macro_nc,WTI,20,85,0.08188746970435057,0.051240858572195944,0.8823529411764706,0.4871776959293677,0.07058823529411765,0.019172407990034605,0.05455390702099731,0.017577771778132804,0.3275446777956983
AR_time,BRENT,1,85,0.019614919628064706,0.012524807388489434,0.8352941176470589,0.10555409035294373,0.08235294117647059,0.003594885955715703,0.013180316373236009,0.004797262417297144,0.3654826342056948
AR_time,BRENT,4,85,0.03813347497370035,0.025991666724223587,0.9176470588235294,0.21394055084239977,0.03529411764705882,0.00774039085652662,0.02667161236062817,0.008577392984292434,0.3654826342056948
AR_time,BRENT,12,85,0.06278300949424195,0.0434554698116712,0.9058823529411765,0.374464682141775,0.058823529411764705,0.013411180892711124,0.043161514310710164,0.01253373166499993,0.3654826342056948
AR_time,BRENT,20,85,0.0801986369078014,0.060072860723354896,0.9058823529411765,0.48501522622780635,0.058823529411764705,0.016283589335242935,0.056936964021835935,0.01527696948615236,0.3654826342056948
AR_time,SPREAD,1,85,0.011367710678914783,0.008519495271853804,0.8705882352941177,0.062152066137802726,0.047058823529411764,0.002050140009854279,0.007859444580279535,0.0022280330207192114,0.3654826342056948
AR_time,SPREAD,4,85,0.01854484403046738,0.01433723692060113,0.9411764705882353,0.12620811438120627,0.03529411764705882,0.003681388374051773,0.01335724055139088,0.003287623262486507,0.3654826342056948
AR_time,SPREAD,12,85,0.02797857881188641,0.022661600006276345,0.9882352941176471,0.21926931808083452,0.0,0.005306234659108412,0.018912170562851213,0.005686330716335286,0.3654826342056948
AR_time,SPREAD,20,85,0.0330714854282923,0.025866667231860353,1.0,0.2834538285966095,0.0,0.006937401259486764,0.022065853232353782,0.007235290170343718,0.3654826342056948
AR_time,WTI,1,85,0.01957622582664698,0.012938475876757387,0.8705882352941177,0.10428724692544457,0.03529411764705882,0.00350885664080497,0.013111575374717778,0.004761663571308746,0.3654826342056948
AR_time,WTI,4,85,0.037962099434083414,0.024064601016957066,0.8941176470588236,0.21912630325305152,0.058823529411764705,0.00830006533215003,0.025075372667027234,0.00904047418715598,0.3654826342056948
AR_time,WTI,12,85,0.06528665444749404,0.039374945740654935,0.8941176470588236,0.380532152562587,0.07058823529411765,0.015575629764951457,0.04319456686626457,0.014042846959030677,0.3654826342056948
AR_time,WTI,20,85,0.0829685682100741,0.048582417442184125,0.8588235294117647,0.48997860174533975,0.09411764705882353,0.017670934531431814,0.0550123090635847,0.0175846602889787,0.3654826342056948
CTSF_equal,BRENT,1,85,0.0193531643848439,0.012183170056614463,0.8823529411764706,0.10144613717083477,0.07058823529411765,0.0037243853537213315,0.013116882454933062,0.004758189104968426,1.0
CTSF_equal,BRENT,4,85,0.03769353608449419,0.02516956078822389,0.9294117647058824,0.20648157065396894,0.023529411764705882,0.007716292170501939,0.025545557310590758,0.008737973665969314,1.0
CTSF_equal,BRENT,12,85,0.061189512793118135,0.03925821220626882,0.9058823529411765,0.3521790062936815,0.058823529411764705,0.014275993502377701,0.04130932781619558,0.01207567771169365,1.0
CTSF_equal,BRENT,20,85,0.07839752628609939,0.05316719166473108,0.9176470588235294,0.45126087704856266,0.047058823529411764,0.01716790769729505,0.054922099411012455,0.015004556565138919,1.0
CTSF_equal,SPREAD,1,85,0.010640052492991917,0.007463402168890491,0.9058823529411765,0.059392266528654106,0.047058823529411764,0.001974690206520458,0.007549362946248582,0.0021083514650267394,1.0
CTSF_equal,SPREAD,4,85,0.01639825082574147,0.011554721107562189,0.8941176470588236,0.0957050602482104,0.07058823529411765,0.003289866661670087,0.011400598888730766,0.002840329327740239,1.0
CTSF_equal,SPREAD,12,85,0.020521953690174108,0.016762143026878222,0.8470588235294118,0.10945632702056755,0.09411764705882353,0.003555635050056449,0.01488292392877671,0.0035120537085734822,1.0
CTSF_equal,SPREAD,20,85,0.021078077550749974,0.017396743484004346,0.8941176470588236,0.1106244490358808,0.07058823529411765,0.0034048949117057993,0.015522655192287616,0.003471305274300034,1.0
CTSF_equal,WTI,1,85,0.019310051931195768,0.011660312218825613,0.8941176470588236,0.09788449243162556,0.03529411764705882,0.0031913331172233553,0.013063436885105438,0.00465591323021585,1.0
CTSF_equal,WTI,4,85,0.037650369372051753,0.022523016543634054,0.8823529411764706,0.2077499936632301,0.08235294117647059,0.008370041373429912,0.02474332166746446,0.008844787844732542,1.0
CTSF_equal,WTI,12,85,0.06537754170149687,0.03677746310218644,0.8705882352941177,0.3541001844100691,0.07058823529411765,0.016013656595494388,0.04378221846361844,0.014189366723109659,1.0
CTSF_equal,WTI,20,85,0.08348468275780194,0.052935788592061994,0.8705882352941177,0.45416106190442634,0.08235294117647059,0.018122879976572033,0.05673845131616966,0.016300159980940372,1.0
CTSF_macro,BRENT,1,85,0.019417128776743023,0.011767355737135577,0.8823529411764706,0.10456826049231731,0.058823529411764705,0.003580967649931709,0.013081909141706358,0.0046245322875524035,0.33249870885133676
CTSF_macro,BRENT,4,85,0.03768284310137467,0.025762032463153717,0.8941176470588236,0.20687514445861416,0.058823529411764705,0.007629173097304032,0.02579369814625254,0.00856869219959355,0.33249870885133676
CTSF_macro,BRENT,12,85,0.06120309700328713,0.039499005969274706,0.9176470588235294,0.35529888238091234,0.047058823529411764,0.013521796386818673,0.04153709241772092,0.012791816979396168,0.33249870885133676
CTSF_macro,BRENT,20,85,0.07838616184798732,0.05507176549965537,0.8941176470588236,0.45695292920603026,0.07058823529411765,0.016822945538512647,0.055169732859031755,0.015192367788565326,0.33249870885133676
CTSF_macro,SPREAD,1,85,0.010633634286616291,0.007306286462371482,0.8823529411764706,0.05902729097486079,0.058823529411764705,0.002004676733144316,0.0075576006553588464,0.0020994032064221447,0.33249870885133676
CTSF_macro,SPREAD,4,85,0.016366628989249846,0.01129914177097879,0.9058823529411765,0.0947192392976434,0.07058823529411765,0.003274870566330162,0.011385130144783451,0.0028810291694118715,0.33249870885133676
CTSF_macro,SPREAD,12,85,0.02050335076748515,0.01643992671693038,0.8588235294117647,0.109077352038748,0.09411764705882353,0.0035253840478747835,0.014791982110211155,0.0035677562386502142,0.33249870885133676
CTSF_macro,SPREAD,20,85,0.021160802692874833,0.0179146857370689,0.8823529411764706,0.10995529362933672,0.08235294117647059,0.0034147199324812394,0.015472830133809836,0.0035664046978422233,0.33249870885133676
CTSF_macro,WTI,1,85,0.019471026889455744,0.012696546457831599,0.8588235294117647,0.10457614025576473,0.03529411764705882,0.0035327482830749143,0.013143926954181684,0.004802291318632783,0.33249870885133676
CTSF_macro,WTI,4,85,0.037449184312381735,0.024599894703396658,0.8823529411764706,0.2126530719616542,0.07058823529411765,0.008056222318805888,0.024968340954995467,0.008763433075843657,0.33249870885133676
CTSF_macro,WTI,12,85,0.06512894722582684,0.037092743855088574,0.8941176470588236,0.3620363292066974,0.058823529411764705,0.015207833069011852,0.043731603797797766,0.014306051412757592,0.33249870885133676
CTSF_macro,WTI,20,85,0.0833855871987833,0.055319735561573075,0.8588235294117647,0.46217773049828104,0.09411764705882353,0.01771709144361557,0.05687672853744968,0.01638892823224413,0.33249870885133676
CTSF_time,BRENT,1,85,0.01951025657628957,0.012357391984881502,0.8705882352941177,0.10526433913058236,0.07058823529411765,0.003692710689659386,0.013116487956037837,0.004797963335925567,0.37243178369773833
CTSF_time,BRENT,4,85,0.03787896773623553,0.025909424264982835,0.9058823529411765,0.20855014553367648,0.047058823529411764,0.007629185858222584,0.025969162074379368,0.008803147754308557,0.37243178369773833
CTSF_time,BRENT,12,85,0.061253831148753324,0.040290194934119984,0.9176470588235294,0.3593008086192134,0.047058823529411764,0.013498016673970582,0.041641729027220936,0.012429944138482038,0.37243178369773833
CTSF_time,BRENT,20,85,0.07828432769583914,0.05417181303192341,0.8941176470588236,0.46181963553416006,0.07058823529411765,0.016593293619161814,0.054667064162647015,0.015259820260788636,0.37243178369773833
CTSF_time,SPREAD,1,85,0.010620645954175162,0.007431809340397404,0.8941176470588236,0.05893614044617884,0.058823529411764705,0.001983416694035479,0.007495200936168426,0.0021046851285405673,0.37243178369773833
CTSF_time,SPREAD,4,85,0.01636746762324628,0.011389337219602447,0.8941176470588236,0.09488372380970943,0.07058823529411765,0.0033252538965538397,0.011443978463080645,0.002867725408831285,0.37243178369773833
CTSF_time,SPREAD,12,85,0.020423379966484863,0.01646076183296542,0.8470588235294118,0.10868528908790574,0.09411764705882353,0.0035151415403135823,0.014733335125539601,0.003552913832242535,0.37243178369773833
CTSF_time,SPREAD,20,85,0.02116845149285749,0.017915877018739285,0.8588235294117647,0.10969728944735273,0.09411764705882353,0.0033639117495456203,0.015496126949417913,0.003470464442880076,0.37243178369773833
CTSF_time,WTI,1,85,0.019452529897744836,0.0123516494836691,0.8823529411764706,0.10392402322962371,0.03529411764705882,0.003553802659325656,0.013104954156712352,0.004795674892996314,0.37243178369773833
CTSF_time,WTI,4,85,0.037595971436662726,0.024048467127253274,0.8941176470588236,0.21369872398756884,0.058823529411764705,0.008071642780007987,0.024918394198375604,0.008934019785197955,0.37243178369773833
CTSF_time,WTI,12,85,0.06520652530597261,0.037000351183479746,0.8941176470588236,0.36418630927113127,0.058823529411764705,0.015308194959883814,0.04385278741133406,0.013990081685733726,0.37243178369773833
CTSF_time,WTI,20,85,0.08339656252385934,0.05439157583052119,0.8705882352941177,0.466444526697889,0.08235294117647059,0.01800970636580111,0.05662170297939792,0.01683213855843275,0.37243178369773833
CTS_equal,BRENT,1,85,0.01934758067917656,0.011980261791819699,0.8823529411764706,0.10153632906549805,0.07058823529411765,0.0037337894453232426,0.013102779562881573,0.004768822781448495,1.0
CTS_equal,BRENT,4,85,0.03794438866034422,0.026562765464160233,0.9176470588235294,0.20674354084102184,0.03529411764705882,0.0076862332335284125,0.025907894755727617,0.008754439146123366,1.0
CTS_equal,BRENT,12,85,0.06181043793697112,0.04095346254310627,0.8941176470588236,0.3523500348294249,0.07058823529411765,0.014366810544327277,0.041877489167559005,0.012153117532878637,1.0
CTS_equal,BRENT,20,85,0.07935449938714739,0.05258068087617225,0.9058823529411765,0.45162346921487667,0.058823529411764705,0.017194444563265097,0.05568327435059455,0.015104780304416426,1.0
CTS_equal,SPREAD,1,85,0.010751048240036,0.0075507164803826545,0.8823529411764706,0.059571839914277065,0.047058823529411764,0.001981753871877707,0.0076082206541868746,0.002120006439767239,1.0
CTS_equal,SPREAD,4,85,0.01625523690338994,0.010865869705550799,0.8823529411764706,0.09716743402674513,0.058823529411764705,0.003233884787461252,0.011400642918156036,0.0028137503062856933,1.0
CTS_equal,SPREAD,12,85,0.019840546380348233,0.014410604941961107,0.8941176470588236,0.11373924777236293,0.047058823529411764,0.0035134323035492993,0.014271361143469129,0.0035809502671826157,1.0
CTS_equal,SPREAD,20,85,0.020220439282628743,0.01577866834677208,0.9058823529411765,0.11536427113900184,0.03529411764705882,0.0034156470484571206,0.014413133257006197,0.0035468322638267237,1.0
CTS_equal,WTI,1,85,0.01932356122445002,0.0115133558230598,0.8823529411764706,0.09774751689291526,0.03529411764705882,0.003211223037655498,0.013055985284006965,0.0046932763396585475,1.0
CTS_equal,WTI,4,85,0.037392283191638155,0.023022781900732064,0.8941176470588236,0.20747966469239998,0.058823529411764705,0.008269598330164076,0.024531306597406415,0.008841388461968035,1.0
CTS_equal,WTI,12,85,0.06467065855701754,0.0357034402993794,0.8705882352941177,0.3538631227328685,0.07058823529411765,0.015872760904248655,0.04321148526935398,0.014231417209165117,1.0
CTS_equal,WTI,20,85,0.08248502633427546,0.050286940129088215,0.8705882352941177,0.4537744581461632,0.08235294117647059,0.017923032495805583,0.05604811372088438,0.016272741220659404,1.0
CTS_macro,BRENT,1,85,0.01943157563288969,0.012103448706864252,0.8823529411764706,0.10460861516601239,0.058823529411764705,0.003584927593419675,0.013070844966749885,0.004620913452217313,0.33249870885133676
CTS_macro,BRENT,4,85,0.03795149772145315,0.02696584281173864,0.8941176470588236,0.20689292730294415,0.058823529411764705,0.0076560953218003025,0.026151505987701006,0.008557208479304308,0.33249870885133676
CTS_macro,BRENT,12,85,0.06182720696317484,0.04160018099077528,0.9176470588235294,0.3551992332463125,0.047058823529411764,0.01357984595729382,0.04209128851114654,0.012839159675953575,0.33249870885133676
CTS_macro,BRENT,20,85,0.07933535162404688,0.05448297401946961,0.8941176470588236,0.4570003110841907,0.07058823529411765,0.016960524874061564,0.05585280523475442,0.0152389114546901,0.33249870885133676
CTS_macro,SPREAD,1,85,0.010769141800277176,0.007544977202096148,0.8588235294117647,0.0590425641200416,0.058823529411764705,0.001989298242347145,0.007665930379892373,0.0021565169690902393,0.33249870885133676
CTS_macro,SPREAD,4,85,0.01626489412681535,0.010473782050483677,0.8823529411764706,0.09613021087668949,0.058823529411764705,0.003206322754587867,0.011339959828361704,0.0028091147638158046,0.33249870885133676
CTS_macro,SPREAD,12,85,0.019842076300996343,0.013890942354313436,0.8941176470588236,0.11320544774322978,0.047058823529411764,0.0034895766358177464,0.014222241662004044,0.0036457232981190525,0.33249870885133676
CTS_macro,SPREAD,20,85,0.020343224031647428,0.01589494430734383,0.8941176470588236,0.11448979685580886,0.03529411764705882,0.0033700342487372713,0.014490238168045334,0.003546370558443146,0.33249870885133676
CTS_macro,WTI,1,85,0.019472206262730305,0.012217150277335064,0.8588235294117647,0.1045320653840419,0.03529411764705882,0.003539375723406066,0.013129907552462914,0.004847291487483012,0.33249870885133676
CTS_macro,WTI,4,85,0.0371836619627315,0.02368833626242916,0.8941176470588236,0.21262951868280286,0.058823529411764705,0.00803015311106323,0.024737000364622914,0.008774079637753139,0.33249870885133676
CTS_macro,WTI,12,85,0.06442481875436294,0.03702580688620177,0.8941176470588236,0.36209012171011373,0.058823529411764705,0.015116187843541209,0.04315807195069309,0.014308060618504054,0.33249870885133676
CTS_macro,WTI,20,85,0.08238277498570869,0.05703141624795015,0.8588235294117647,0.4619695583332977,0.08235294117647059,0.017563199675506028,0.05612208678826778,0.016450260229566364,0.33249870885133676
CTS_time,BRENT,1,85,0.019520422191064014,0.012348982612578618,0.8823529411764706,0.10537221041423718,0.07058823529411765,0.00371468534175016,0.013111245555502183,0.004791463949160772,0.37243178369773833
CTS_time,BRENT,4,85,0.038142325816989966,0.0264352826085334,0.9058823529411765,0.20867504262050574,0.047058823529411764,0.007670056130485155,0.026295613047601484,0.008767536139655911,0.37243178369773833
CTS_time,BRENT,12,85,0.0618789727622614,0.04309772150299861,0.9176470588235294,0.35926469891497187,0.047058823529411764,0.01353795823721827,0.04223581084799683,0.012481494652857961,0.37243178369773833
CTS_time,BRENT,20,85,0.07924477695819555,0.05518450242144386,0.8941176470588236,0.46194861674602883,0.07058823529411765,0.016741182130410124,0.05542208975540422,0.015306683008825886,0.37243178369773833
CTS_time,SPREAD,1,85,0.010753911724759988,0.007641669497607601,0.8705882352941177,0.059005589884508484,0.058823529411764705,0.0019730232183695537,0.0075854986169957995,0.0021354342204372343,0.37243178369773833
CTS_time,SPREAD,4,85,0.016250793690470205,0.010225150411717222,0.8705882352941177,0.09627038330292936,0.058823529411764705,0.003284787108012699,0.011372730437545539,0.002826649496851079,0.37243178369773833
CTS_time,SPREAD,12,85,0.01975885282280884,0.01390015092420143,0.8823529411764706,0.11285458778045042,0.047058823529411764,0.003470981313315691,0.01412993698985108,0.0036254630111421174,0.37243178369773833
CTS_time,SPREAD,20,85,0.02034814236327965,0.015756038276537477,0.8941176470588236,0.11448897910590913,0.03529411764705882,0.003390879912382071,0.014505714286312223,0.0034794550319656495,0.37243178369773833
CTS_time,WTI,1,85,0.019455100167476848,0.011987557738158523,0.8823529411764706,0.10393029232222575,0.03529411764705882,0.0035608278196746232,0.013074308817495234,0.004818539635338341,0.37243178369773833
CTS_time,WTI,4,85,0.03733847370299782,0.023892622047610487,0.8941176470588236,0.2137632690393312,0.058823529411764705,0.008042004974197483,0.024728750229986034,0.008947141571088417,0.37243178369773833
CTS_time,WTI,12,85,0.06449828728432169,0.036409489163057224,0.8823529411764706,0.36406283129673395,0.058823529411764705,0.01521211656311507,0.04320488150846002,0.014009472154188254,0.37243178369773833
CTS_time,WTI,20,85,0.08239512949945912,0.057292682266911546,0.8705882352941177,0.4661092139026317,0.08235294117647059,0.017815923242651115,0.05579673835691879,0.01680333129835963,0.37243178369773833
FHS_equal,BRENT,1,85,0.019444618021022854,0.011806762141128638,0.8352941176470589,0.10071257457940341,0.09411764705882353,0.0036053269817053687,0.01329101934684092,0.004406727616966397,1.0
FHS_equal,BRENT,4,85,0.0373880219498509,0.02589111389931342,0.9294117647058824,0.20358016305413526,0.03529411764705882,0.00747449725927791,0.026136984176639334,0.007858675330862356,1.0
FHS_equal,BRENT,12,85,0.06182943771942187,0.04378204944343072,0.9058823529411765,0.35908633108069765,0.047058823529411764,0.013074009680043535,0.042679811357271495,0.012489688896356403,1.0
FHS_equal,BRENT,20,85,0.0794608346882018,0.05551004496919763,0.9294117647058824,0.46936050449028427,0.047058823529411764,0.016187885985517795,0.05655469367327341,0.015015617898249674,1.0
FHS_equal,SPREAD,1,85,0.011631419088686755,0.00886677715370678,0.8823529411764706,0.06861935949734,0.058823529411764705,0.0023078247317532916,0.007943378470858598,0.0022480619113104615,1.0
FHS_equal,SPREAD,4,85,0.019065764662736507,0.015848036240038,0.9647058823529412,0.1400628425049392,0.023529411764705882,0.004100355968547979,0.01348095971301375,0.0036226167096973377,1.0
FHS_equal,SPREAD,12,85,0.02909828521625294,0.02341935630163105,1.0,0.24620129523722065,0.0,0.006058533408430728,0.019268255937514602,0.0062515313534303105,1.0
FHS_equal,SPREAD,20,85,0.034416881283068725,0.03016689806501975,1.0,0.32110915481344204,0.0,0.007985679255287884,0.02213798097810717,0.008069778485384227,1.0
FHS_equal,WTI,1,85,0.019045926981196497,0.012822463995544724,0.8470588235294118,0.09890785607766928,0.047058823529411764,0.003149891864191592,0.013143853895556076,0.0040618796290284856,1.0
FHS_equal,WTI,4,85,0.03681473802831782,0.02470527570163151,0.8941176470588236,0.2057678302464306,0.058823529411764705,0.007840263860932655,0.02494930949527365,0.008259433799560087,1.0
FHS_equal,WTI,12,85,0.06382776737294327,0.03818393468097533,0.8941176470588236,0.35644666119431306,0.07058823529411765,0.015523898252315801,0.043162275240322595,0.013457190592519696,1.0
FHS_equal,WTI,20,85,0.08160459649405499,0.04888856049716997,0.8705882352941177,0.4641391475412108,0.09411764705882353,0.018431174556082876,0.05514590072621151,0.01693154696228443,1.0
FHS_macro,BRENT,1,85,0.019461658946106214,0.012625705633052525,0.8705882352941177,0.10179711044280475,0.058823529411764705,0.0034523443194007927,0.013127705871128345,0.004407915233896246,0.3275446777956983
FHS_macro,BRENT,4,85,0.03758919309888585,0.025709764912744116,0.9058823529411765,0.20305979686804496,0.047058823529411764,0.007460130410745392,0.02638593511487545,0.007522485544881009,0.3275446777956983
FHS_macro,BRENT,12,85,0.062198922049634876,0.043878699623805376,0.9058823529411765,0.3575444261264701,0.058823529411764705,0.012732898453126923,0.04318461315977414,0.01263788093776224,0.3275446777956983
FHS_macro,BRENT,20,85,0.07992893261734772,0.058098720000460666,0.8941176470588236,0.46444562450255733,0.07058823529411765,0.016011848431089784,0.057213356355781744,0.015022408002125395,0.3275446777956983
FHS_macro,SPREAD,1,85,0.011626957315624672,0.008606543426664982,0.8705882352941177,0.06903064510801976,0.058823529411764705,0.0023448382984457483,0.007893440597431602,0.0022667459496539307,0.3275446777956983
FHS_macro,SPREAD,4,85,0.019004126500576833,0.015258521743967288,0.9647058823529412,0.13914576236844217,0.023529411764705882,0.004051055854865741,0.013257941654321585,0.003666979787188403,0.3275446777956983
FHS_macro,SPREAD,12,85,0.029049284899771915,0.023885459310680306,0.9882352941176471,0.24506638552181495,0.011764705882352941,0.0060627474512127315,0.01933167710919909,0.006238103937234744,0.3275446777956983
FHS_macro,SPREAD,20,85,0.034394716521801476,0.030111415351246312,1.0,0.319077468529795,0.0,0.007889078169268995,0.021858560847783055,0.008064795257220763,0.3275446777956983
FHS_macro,WTI,1,85,0.019193646718400813,0.013159744736228073,0.8705882352941177,0.10500090737232384,0.058823529411764705,0.0034986553414744805,0.013149718845492164,0.004025735710564885,0.3275446777956983
FHS_macro,WTI,4,85,0.036695467454923414,0.024967510516610975,0.8941176470588236,0.21150294398743855,0.058823529411764705,0.0076752635490953715,0.025108148649677933,0.007881370224042224,0.3275446777956983
FHS_macro,WTI,12,85,0.06362954578343477,0.039954187708023406,0.8941176470588236,0.36951092835451815,0.07058823529411765,0.015095333594225822,0.04320770856695963,0.013947953839788491,0.3275446777956983
FHS_macro,WTI,20,85,0.08133145669255051,0.05040349176314535,0.8705882352941177,0.47940129883638444,0.09411764705882353,0.01821245341401096,0.055437304448803126,0.01718090727618963,0.3275446777956983
FHS_time,BRENT,1,85,0.01951093619281218,0.01260959557881345,0.8588235294117647,0.1007742438196724,0.07058823529411765,0.0036644200701213404,0.013168083221950207,0.0045656312453714295,0.3654826342056948
