model,variable,horizon_weeks,alpha,n_used,n_total,expected_exceptions,underpowered,exceptions,exception_rate,kupiec_p,christoffersen_ind_p,christoffersen_cc_p,es_z2,es_z2_p,es_z2_lo,es_z2_hi
CTS_time,BRENT,4,0.05,85,85,4.25,False,4,0.047058823529411764,0.9000458473117839,0.5270031096603232,0.8122301624791386,-0.7132991644858273,0.5745,-3.12607757547121,0.9574242088834654
FHS_equal,BRENT,4,0.05,85,85,4.25,False,3,0.03529411764705882,0.5122782991918476,0.637313395554705,0.7219193657385641,-0.7788360102600522,0.4975,-3.6625249185237787,1.0
FHS_macro,BRENT,4,0.05,85,85,4.25,False,4,0.047058823529411764,0.9000458473117839,0.5270031096603232,0.8122301624791386,-0.24246283785548162,0.7845,-2.201499319607733,0.936548873392648
FHS_time,BRENT,4,0.05,85,85,4.25,False,4,0.047058823529411764,0.9000458473117839,0.5270031096603232,0.8122301624791386,-0.1480203536096794,0.841,-1.9363013812140935,0.9917232767671568
RW_equal,BRENT,4,0.05,85,85,4.25,False,2,0.023529411764705882,0.21357413704357642,0.7547646576940108,0.4394192486835131,-0.9313096246181317,0.5,-4.051289859742444,1.0
VARL_equal,BRENT,4,0.05,85,85,4.25,False,2,0.023529411764705882,0.21357413704357642,0.7547646576940108,0.4394192486835131,-0.8365604175739885,0.5,-3.8070721141580153,1.0
VARL_time,BRENT,4,0.05,85,85,4.25,False,2,0.023529411764705882,0.21357413704357642,0.7547646576940108,0.4394192486835131,-0.27604197385543633,0.723,-2.2744539132332475,1.0
VECM_equal,BRENT,4,0.05,85,85,4.25,False,2,0.023529411764705882,0.21357413704357642,0.7547646576940108,0.4394192486835131,-0.7979673710519289,0.5,-3.6567919587070326,1.0
VECM_macro,BRENT,4,0.05,85,85,4.25,False,2,0.023529411764705882,0.21357413704357642,0.7547646576940108,0.4394192486835131,-0.27807387544181766,0.838,-2.430807450097665,1.0
VECM_time,BRENT,4,0.05,85,85,4.25,False,3,0.03529411764705882,0.5122782991918476,0.637313395554705,0.7219193657385641,-0.1798353358477554,0.8595,-2.054668540619118,1.0
AR_equal,BRENT,12,0.01,29,85,0.29,True,0,0.0,0.44517024808373995,1.0,0.7471720943315963,1.0,0.0,1.0,1.0
AR_macro,BRENT,12,0.01,29,85,0.29,True,0,0.0,0.44517024808373995,1.0,0.7471720943315963,1.0,0.0,1.0,1.0
AR_macro_nc,BRENT,12,0.01,29,85,0.29,True,1,0.034482758620689655,0.3001666580096988,0.7854708144482555,0.5633961176945674,0.7313226611277209,0.0145,0.19396798338316257,1.0
AR_time,BRENT,12,0.01,29,85,0.29,True,0,0.0,0.44517024808373995,1.0,0.7471720943315963,1.0,0.0,1.0,1.0
CTSF_equal,BRENT,12,0.01,29,85,0.29,True,1,0.034482758620689655,0.3001666580096988,0.7854708144482555,0.5633961176945674,-0.5119770592972458,0.6045,-3.535931177891737,1.0
CTSF_macro,BRENT,12,0.01,29,85,0.29,True,0,0.0,0.44517024808373995,1.0,0.7471720943315963,1.0,0.0,1.0,1.0
CTSF_time,BRENT,12,0.01,29,85,0.29,True,0,0.0,0.44517024808373995,1.0,0.7471720943315963,1.0,0.0,1.0,1.0
CTS_equal,BRENT,12,0.01,29,85,0.29,True,1,0.034482758620689655,0.3001666580096988,0.7854708144482555,0.5633961176945674,-1.1394156121919468,0.6045,-5.4182468365758405,1.0
CTS_macro,BRENT,12,0.01,29,85,0.29,True,0,0.0,0.44517024808373995,1.0,0.7471720943315963,1.0,0.0,1.0,1.0
CTS_time,BRENT,12,0.01,29,85,0.29,True,0,0.0,0.44517024808373995,1.0,0.7471720943315963,1.0,0.0,1.0,1.0
FHS_equal,BRENT,12,0.01,29,85,0.29,True,0,0.0,0.44517024808373995,1.0,0.7471720943315963,1.0,0.0,1.0,1.0
FHS_macro,BRENT,12,0.01,29,85,0.29,True,0,0.0,0.44517024808373995,1.0,0.7471720943315963,1.0,0.0,1.0,1.0
FHS_time,BRENT,12,0.01,29,85,0.29,True,0,0.0,0.44517024808373995,1.0,0.7471720943315963,1.0,0.0,1.0,1.0
RW_equal,BRENT,12,0.01,29,85,0.29,True,0,0.0,0.44517024808373995,1.0,0.7471720943315963,1.0,0.0,1.0,1.0
VARL_equal,BRENT,12,0.01,29,85,0.29,True,1,0.034482758620689655,0.3001666580096988,0.7854708144482555,0.5633961176945674,-0.41237182269584055,0.6045,-3.237115468087522,1.0
VARL_time,BRENT,12,0.01,29,85,0.29,True,0,0.0,0.44517024808373995,1.0,0.7471720943315963,1.0,0.0,1.0,1.0
VECM_equal,BRENT,12,0.01,29,85,0.29,True,0,0.0,0.44517024808373995,1.0,0.7471720943315963,1.0,0.0,1.0,1.0
VECM_macro,BRENT,12,0.01,29,85,0.29,True,0,0.0,0.44517024808373995,1.0,0.7471720943315963,1.0,0.0,1.0,1.0
VECM_time,BRENT,12,0.01,29,85,0.29,True,0,0.0,0.44517024808373995,1.0,0.7471720943315963,1.0,0.0,1.0,1.0
AR_equal,BRENT,12,0.05,29,85,1.4500000000000002,True,2,0.06896551724137931,0.656837214101839,0.5789122401075852,0.776706755933998,-0.5570066234837296,0.68,-2.9775525416993585,1.0
AR_macro,BRENT,12,0.05,29,85,1.4500000000000002,True,1,0.034482758620689655,0.6853337488489716,0.7854708144482555,0.8876859655508784,0.3442129905555625,0.6045,-0.9673610283333125,1.0
AR_macro_nc,BRENT,12,0.05,29,85,1.4500000000000002,True,1,0.034482758620689655,0.6853337488489716,0.7854708144482555,0.8876859655508784,-0.1226130600073637,0.6045,-2.367839180022091,1.0
AR_time,BRENT,12,0.05,29,85,1.4500000000000002,True,1,0.034482758620689655,0.6853337488489716,0.7854708144482555,0.8876859655508784,0.4661637745703803,0.6045,-0.6015086762888593,1.0
CTSF_equal,BRENT,12,0.05,29,85,1.4500000000000002,True,2,0.06896551724137931,0.656837214101839,0.5789122401075852,0.776706755933998,-0.6363635489423705,0.5985,-3.335902932485876,1.0
CTSF_macro,BRENT,12,0.05,29,85,1.4500000000000002,True,1,0.034482758620689655,0.6853337488489716,0.7854708144482555,0.8876859655508784,0.2896507667483939,0.6045,-1.1310476997548184,1.0
CTSF_time,BRENT,12,0.05,29,85,1.4500000000000002,True,1,0.034482758620689655,0.6853337488489716,0.7854708144482555,0.8876859655508784,0.24767326050804722,0.6045,-1.2569802184758583,1.0
CTS_equal,BRENT,12,0.05,29,85,1.4500000000000002,True,2,0.06896551724137931,0.656837214101839,0.5789122401075852,0.776706755933998,-0.7970772308204902,0.5755,-3.6672869250446,1.0
CTS_macro,BRENT,12,0.05,29,85,1.4500000000000002,True,1,0.034482758620689655,0.6853337488489716,0.7854708144482555,0.8876859655508784,0.2236639459675337,0.6045,-1.329008162097399,1.0
CTS_time,BRENT,12,0.05,29,85,1.4500000000000002,True,1,0.034482758620689655,0.6853337488489716,0.7854708144482555,0.8876859655508784,0.16499535110115618,0.6045,-1.5050139466965313,1.0
FHS_equal,BRENT,12,0.05,29,85,1.4500000000000002,True,1,0.034482758620689655,0.6853337488489716,0.7854708144482555,0.8876859655508784,0.1459526384347176,0.6045,-1.5621420846958471,1.0
FHS_macro,BRENT,12,0.05,29,85,1.4500000000000002,True,1,0.034482758620689655,0.6853337488489716,0.7854708144482555,0.8876859655508784,0.5686879559013814,0.0765,-0.2939361322958558,1.0
FHS_time,BRENT,12,0.05,29,85,1.4500000000000002,True,1,0.034482758620689655,0.6853337488489716,0.7854708144482555,0.8876859655508784,0.6074184923523386,0.0765,-0.17774452294298432,1.0
RW_equal,BRENT,12,0.05,29,85,1.4500000000000002,True,1,0.034482758620689655,0.6853337488489716,0.7854708144482555,0.8876859655508784,0.9153527889160867,0.0,0.7460583667482598,1.0
VARL_equal,BRENT,12,0.05,29,85,1.4500000000000002,True,1,0.034482758620689655,0.6853337488489716,0.7854708144482555,0.8876859655508784,-0.40891871954544784,0.6045,-3.2267561586363436,1.0
VARL_time,BRENT,12,0.05,29,85,1.4500000000000002,True,1,0.034482758620689655,0.6853337488489716,0.7854708144482555,0.8876859655508784,0.11394637020999332,0.6045,-1.6581608893700202,1.0
VECM_equal,BRENT,12,0.05,29,85,1.4500000000000002,True,1,0.034482758620689655,0.6853337488489716,0.7854708144482555,0.8876859655508784,0.08146489025658611,0.6045,-1.7556053292302416,1.0
VECM_macro,BRENT,12,0.05,29,85,1.4500000000000002,True,1,0.034482758620689655,0.6853337488489716,0.7854708144482555,0.8876859655508784,0.4362243903532792,0.6045,-0.6913268289401624,1.0
VECM_time,BRENT,12,0.05,29,85,1.4500000000000002,True,1,0.034482758620689655,0.6853337488489716,0.7854708144482555,0.8876859655508784,0.6171240166587603,0.0765,-0.14862795002371898,1.0
AR_equal,BRENT,20,0.01,17,85,0.17,True,1,0.058823529411764705,0.16524759896456886,0.7148995492194973,0.3571910794239648,-24.528625568164728,0.6005,-75.58587670449418,1.0
AR_macro,BRENT,20,0.01,17,85,0.17,True,1,0.058823529411764705,0.16524759896456886,0.7148995492194973,0.3571910794239648,-12.257186117089194,0.6005,-38.77155835126758,1.0
AR_macro_nc,BRENT,20,0.01,17,85,0.17,True,1,0.058823529411764705,0.16524759896456886,0.7148995492194973,0.3571910794239648,-18.70858868559693,0.6005,-58.12576605679078,1.0
AR_time,BRENT,20,0.01,17,85,0.17,True,1,0.058823529411764705,0.16524759896456886,0.7148995492194973,0.3571910794239648,-18.646528411511248,0.6005,-57.93958523453375,1.0
CTSF_equal,BRENT,20,0.01,17,85,0.17,True,1,0.058823529411764705,0.16524759896456886,0.7148995492194973,0.3571910794239648,-24.467073738958362,0.6005,-75.40122121687509,1.0
CTSF_macro,BRENT,20,0.01,17,85,0.17,True,1,0.058823529411764705,0.16524759896456886,0.7148995492194973,0.3571910794239648,-12.998882038070521,0.6005,-40.996646114211565,1.0
CTSF_time,BRENT,20,0.01,17,85,0.17,True,1,0.058823529411764705,0.16524759896456886,0.7148995492194973,0.3571910794239648,-27.166619223897833,0.6005,-83.4998576716935,1.0
CTS_equal,BRENT,20,0.01,17,85,0.17,True,1,0.058823529411764705,0.16524759896456886,0.7148995492194973,0.3571910794239648,-24.692588976721446,0.6005,-76.07776693016433,1.0
CTS_macro,BRENT,20,0.01,17,85,0.17,True,1,0.058823529411764705,0.16524759896456886,0.7148995492194973,0.3571910794239648,-13.129833006583482,0.6005,-41.389499019750446,1.0
CTS_time,BRENT,20,0.01,17,85,0.17,True,1,0.058823529411764705,0.16524759896456886,0.7148995492194973,0.3571910794239648,-28.352513536522864,0.6005,-87.05754060956859,1.0
FHS_equal,BRENT,20,0.01,17,85,0.17,True,1,0.058823529411764705,0.16524759896456886,0.7148995492194973,0.3571910794239648,-16.863977791307065,0.6005,-52.591933373921194,1.0
FHS_macro,BRENT,20,0.01,17,85,0.17,True,1,0.058823529411764705,0.16524759896456886,0.7148995492194973,0.3571910794239648,-3.5773890505552646,0.6005,-12.732167151665791,1.0
FHS_time,BRENT,20,0.01,17,85,0.17,True,1,0.058823529411764705,0.16524759896456886,0.7148995492194973,0.3571910794239648,-8.606340235395807,0.6005,-27.819020706187423,1.0
RW_equal,BRENT,20,0.01,17,85,0.17,True,1,0.058823529411764705,0.16524759896456886,0.7148995492194973,0.3571910794239648,-15.737889501082702,0.6005,-49.2136685032481,1.0
VARL_equal,BRENT,20,0.01,17,85,0.17,True,1,0.058823529411764705,0.16524759896456886,0.7148995492194973,0.3571910794239648,-40.650029196523775,0.6005,-123.95008758957134,1.0
VARL_time,BRENT,20,0.01,17,85,0.17,True,1,0.058823529411764705,0.16524759896456886,0.7148995492194973,0.3571910794239648,-21.833164473103558,0.6005,-67.49949341931067,1.0
VECM_equal,BRENT,20,0.01,17,85,0.17,True,1,0.058823529411764705,0.16524759896456886,0.7148995492194973,0.3571910794239648,-18.482155341710197,0.6005,-57.44646602513059,1.0
VECM_macro,BRENT,20,0.01,17,85,0.17,True,1,0.058823529411764705,0.16524759896456886,0.7148995492194973,0.3571910794239648,-7.422788078978603,0.6005,-24.26836423693581,1.0
VECM_time,BRENT,20,0.01,17,85,0.17,True,1,0.058823529411764705,0.16524759896456886,0.7148995492194973,0.3571910794239648,-12.476398934525376,0.6005,-39.429196803576126,1.0
AR_equal,BRENT,20,0.05,17,85,0.8500000000000001,True,1,0.058823529411764705,0.8708415681735512,0.7148995492194973,0.9231774328446429,-5.470727095885606,0.6005,-18.412181287656818,1.0
AR_macro,BRENT,20,0.05,17,85,0.8500000000000001,True,1,0.058823529411764705,0.8708415681735512,0.7148995492194973,0.9231774328446429,-3.0170446035330665,0.6005,-11.0511338105992,1.0
AR_macro_nc,BRENT,20,0.05,17,85,0.8500000000000001,True,1,0.058823529411764705,0.8708415681735512,0.7148995492194973,0.9231774328446429,-3.9491915681291623,0.6005,-13.847574704387489,1.0
AR_time,BRENT,20,0.05,17,85,0.8500000000000001,True,1,0.058823529411764705,0.8708415681735512,0.7148995492194973,0.9231774328446429,-3.7156245418934057,0.6005,-13.146873625680216,1.0
CTSF_equal,BRENT,20,0.05,17,85,0.8500000000000001,True,1,0.058823529411764705,0.8708415681735512,0.7148995492194973,0.9231774328446429,-6.669824924485738,0.6005,-22.009474773457214,1.0
CTSF_macro,BRENT,20,0.05,17,85,0.8500000000000001,True,2,0.11764705882352941,0.2720126920667876,0.44891564946860063,0.4106645344386778,-3.226848781536095,0.5965,-11.178839531062934,1.0
CTSF_time,BRENT,20,0.05,17,85,0.8500000000000001,True,2,0.11764705882352941,0.2720126920667876,0.44891564946860063,0.4106645344386778,-4.789998611447182,0.4105,-15.271136861447443,1.0
CTS_equal,BRENT,20,0.05,17,85,0.8500000000000001,True,2,0.11764705882352941,0.2720126920667876,0.44891564946860063,0.4106645344386778,-6.825769362043611,0.6005,-22.45462074771845,1.0
CTS_macro,BRENT,20,0.05,17,85,0.8500000000000001,True,2,0.11764705882352941,0.2720126920667876,0.44891564946860063,0.4106645344386778,-3.466817901888912,0.5665,-11.690772523217447,1.0
CTS_time,BRENT,20,0.05,17,85,0.8500000000000001,True,2,0.11764705882352941,0.2720126920667876,0.44891564946860063,0.4106645344386778,-4.972691605030428,0.4105,-15.618536428087957,1.0
FHS_equal,BRENT,20,0.05,17,85,0.8500000000000001,True,1,0.058823529411764705,0.8708415681735512,0.7148995492194973,0.9231774328446429,-4.826553704308721,0.6005,-16.479661112926163,1.0
FHS_macro,BRENT,20,0.05,17,85,0.8500000000000001,True,2,0.11764705882352941,0.2720126920667876,0.44891564946860063,0.4106645344386778,-2.077109248948056,0.6005,-8.207852038104754,1.0
FHS_time,BRENT,20,0.05,17,85,0.8500000000000001,True,2,0.11764705882352941,0.2720126920667876,0.44891564946860063,0.4106645344386778,-3.1704849980343903,0.6005,-11.191937381898681,1.0
RW_equal,BRENT,20,0.05,17,85,0.8500000000000001,True,1,0.058823529411764705,0.8708415681735512,0.7148995492194973,0.9231774328446429,-3.420812824573797,0.6005,-12.26243847372139,1.0
VARL_equal,BRENT,20,0.05,17,85,0.8500000000000001,True,1,0.058823529411764705,0.8708415681735512,0.7148995492194973,0.9231774328446429,-6.800472152103509,0.6005,-22.40141645631053,1.0
